'n	a, an.
aanstons	presently; vide aans.
aanstoot	n. offence.
aanstootlik	objectionable, offensive.
aanstorm	charge (rush) on (along).
aanstryk	walk along (on),
aanstuur	pass (send) on.
aansuiwer	pay (off), settle.
aansukkel	struggle(jog) along.
aantal	number.
aantas	touch; affect; attack.
aanteel	n. breed(ing); increase.; breed, rear; increase.
aanteken	note down; mark; register (a letter); record, enter; score (a try).
aantekening	note, annotation, record.
aantoon	show; demonstrate, prove; indicate.
aantref	meet (with), find, come across (upon).
aantrek	pull; attract, appeal to; tighten, brace; dress.
aantrekkingskrag	pull, gravity; appeal.
aantreklik	attractive; sensitive.
aantyging	imputation.
aanvaar	set out on, begin; enter upon; accept (a position),; assume, accept, face (the consequences), take
aanval	attack, assault; fit, stroke (of paralysis), bout, touch (of malaria).; attack, charge, assail.
aanvallig	charming, sweet.
aanvang	begin, start.
aanvanklik	adv. at first, originally.
aanvat	catch (get, lay, take) hold of, seize.
aanverwant	allied, related.
aanvoeg	add, join.
aanvoer	bring, convey; supply; allege (reasons); raise (objections); adduce (proof); cite (a case); lead (an army), captain (a team).
aanvoerder	commander, leader.
aanvoor	begin, start.
aanvraag	n. demand; request, requisition.
aanvul	replenish (one's stock); make good; complete, supplement.
aanvulling	addition, supplement
aanvuur	fire (the imagination), incite, inspire.
aanwakker	animate, rouse; fan (a flame); stimulate.
aanwas	n. growth, increase; accretion.; grow, increase; rise.
aanwen	contract (a habit), fall into the habit of; reclaim (land).
aanwend	apply, employ; appropriate (money); bring into play.; apply, employ, use; endeavour; use every means, strain every nerve
aanwensel	habit.
aanwesig	present; on hand.
aanwins	asset; gain, profit.
aanwys	point out; allocate.
aanwysend	demonstrative (pronoun).
aanwysing	direction, instruction; hint; indication; index.
aap	ape; monkey.; ape, monkey; fine feathers do not make fine birds; let the cat out of the bag
aapstuipe	die - kry, fly into a passion.
aar	ear (of corn); vein (in body, etc.); underground-watercourse; seam (of ore).; vein
aarbei	strawberry.
aard	n. charaeter, nature; kind; sort.; thrive, get on well.
aardbewing	earthquake.
aarde	earth, mould, soil.; earth: mould, soil; fall on fertile soil; sleep in the dust; my goodness!; lay to rest
aardig	pleasant; queer.
aardryk	earth
aardrykskunde	geography.; geography
aards	earthly, worldly.; earthly, terrestrial; worldly, mundane; earthy; from the earth
aardsgesindheid	worldliness
aardwolf	striped hyena.
aarsel	hesitate, waver.
aartappel	ertappel, potato.; potato; not repeat one's words
aartappelskyfies	potato chips.
aarts-...	arch-, consummate, reguIar.
aartsengel	archangel.
aartslui	bone-lazy, very lazy
aas	n. ace (in cards).; n. bait, carrion, prey.; bait
aasvoel	vulture; glutton.
ab	abbot.
abba	carry (a child) on one's back.
abdis	abbess.
abdy	abbey, monastery.
Abessinië	Abyssinia.
abnormaal	abnormal.
absis	abscissa
absoluut	a. absolute,
absorbeer	absorb.
abuis	error, mistake, slip.
acre	acre.
activa	(pl.) assets.
adamsappel	Adam's apple.
adamsvy	Adam's fig.
adder	adder, viper.
adel	n. nobility.
adelaar	eagle; vide arend.
adellik	high-born, noble; titled.; high-born, noble
adelstand	nobility, peerage.
adem	n.. vide asem, n.
adenoIed	adenoide, (-s), adenoid.
adjektief	adjective.
adjudant	adjudant, aide-de-camp.
adjunk	adjunct, deputy.
administratew	administrator.
administreer	administer, manage.
admiraal	admiral.
adoons	baboon, monkey, jacko; ugly.
adres	address; memoria!.; address
adresboek	directory.
adverteer	advertise.
advertensie	advertisement.
advies	advice; opinion.
adviseer	advise.
advokaat	advocate, barrister.
af	off; down; from.
afbaken	mark (stake) out; delimit; define.
afbeeld	depict, portray.
afbeen	cripple(d).
afbetaal	pay off; pay on account.
afbid	pray for, invoke (a blessing); obtain by prayer
afbind	tie up; underbind.
afbrand	burn down; be burnt down.
afbreek	break off, snap; interrupt (a story); sever connections); demolish (a building), take down (scaffolding), strike (tents); break off, stop (short).; break off (a branch, conversation, etc.)
afbreuk	damage, injury.
afbring	bring down, lead off; reduce.
afbrokkel	crumble away (off).
afdaal	come (go) down, descend.
afdak	lean-to, pent-house, shed.
afdank	dismiss, discharge.; dismiss
afdeel	divide; graduate.
afdek	clear (the table).
afdeling	division, portion, section; detachment; compartment; department; floor, ward.
afdoen	take off (clothes); detract from; settle (a business), get through (an amount of work).
afdoende	conclusive, effective.; conclusive (argument, proof), decisive (reply); effective, efficacious (measures); determinate, determinative; that settles the question (clinches the business)
afdra	carry down (the steps); wear out (clothes)
afdraai	turn off (a tap); wring (neck); run off, show (a film); play (a record); branch off (a road).
afdraand	adv. downhill.; decline, declivity, slope.; n. decline, slope; be going downhill; a. downhill; adv. downhill; he is on the downhill path; he is played out
afdro	-droog, (afge-), dry, wipe off.
afdruk	print, reproduce; impress; press down.; pluck (pull, tear) down (off), snatch away.; print; reproduce; impress; depress
afdrup	(afge-), drip (trickle) down.
afdryf	drift (float) down (away, off).
afdwaal	stray; wander from (one's subject), ramble, digress; go astray, err.
afdwing	wring from; compel (admiration), command (respect); enforce (obedience).
affêre	affair, business, matter.
affodil	daffodil.
affront	affront,
affronteer	affront, insult.
afgaan	go down; leave, separate.; Afghan.
afgebroke	broken (words); intermittent.
afgedankste	confounded, severe.
afgee	deliver, hand over; give out (a smell); give off (smoke); stain; come off (of a colour).
afgeleë	distant, far-off, remote.
afgeleef	decrepit, worn out,
afgelei	derived.
afgelope	finished; ended, past (year)
afgemat	tired (worn) out.
afgerond	rounded (narrative); round (sum, figure).
afgesaag	hackneyed, stale.
afgesant	ambassador, messenger.
afgesien	- van, notwithstanding.
afgeskeie	separate(d); secluded, private.
afgesloof	fagged (out), jaded.
afgesonder	(-de), isolated, remote.
afgestorwe	deceased, dead.
afgetob	weary, worn out.
afgetrokke	abstract; absent-minded.
afgevaardigde	delegate, deputy.
afgewerk	tired; finished.
afgly	glide (slide, slip) down (off).
afgod	idol.
afgooi	throw down (off); unseat.
afgrond	abyss, chasm, precipice.
afgryslik	hideous, hornble.
afguns	envy, jealousy, spite,
afgunstig	envious, jealous, spiteful.
afhaak	unhook; uncouple, detach, disconnect (railway-carriages); get married.
afhaal	bring (fetch) down; call for, meet; insult (a person).
afhak	chop off, cut off, lop off.
afhang	hang down; depend (turn) on.
afhanklik	dependent.
afhou	keep off (from).
afjak	snub, insult.
afkap	chop (cut, lop) off; cut (hew) down; abbreviate (a word).
afkappingsteken	apostrophe.
afkeer	n. dislike, aversion, repugnance.; avert, turn away; ward off (a blow); turn aside (water).
afkerig	- van, averse to,
afkeur	disapprove; reject; scrap.
afkeurenswaardig	blameworthy, censurable, reprehensible.
afklouter	clamber (shin) down.
afknip	cut (snip) off; cut, crop (hair).
afknou	gnaw off; hurt, bully.
afkoel	cool (down); refrigerate; calm down.
afkom	come down.
afkoms	descent, origin.
afkomstig	descended from,
afkondig	declare, proclaim,
afkoop	buy off, redeem; ransom.
afkorting	abridg(e)ment, abbreviation, shortening.
afkrap	scrape (scratch) off; scribble (down).
afkry	get down (off, out); get (someone) away from; get free (a day).
afkyk	look down; crib; spy.
aflaai	discharge, off-load.
aflaat	let down; leave away (off)
afldim	climb down, descend.
aflê	lay down (arms); discard; cover, do (forty miles), come (a distance).
afleer	unlearn; overcome.
aflei	lead away (down); conduct (lightning), distract (one's attention), avert (suspicion); infer; derive (words).; lead away, lead down; divert, turn off (water); conduct (lightning); distract (one's attention); avert (suspicion); conclude, deduce, gather (from); derive (words)
afleiding	diversion, distraction; derivation; deduction.; diversion; distraction; conclusion
aflewer	deliver.
afloer	watch, spy (out).
afloop	flow (run) down; expire, terminate; slope, shelve; run down (clock); gutter (candle); conclude, end, result.
aflos	relieve, take turns; redeem (a loan), discharge.
afluister	overhear; eavesdrop.
afmaai	mow; reap (corn); cut off.
afmaak	finish, settle, dispatch; slate (a book).; finish, complete, bring to a conclusion, settle
afmaker	sheller.
afmat	fatigue, exhaust.
afmeet	measure olf; proportion.
afmeting	dimension, measurement.
afname	decline, decrease.
afneem	remove, take down (away, off); deprive of; diminish; abate; subside; decline; fall, sink; slacken.
afnemer	photographer.
afpak	pack off, unload, unpack.
afpeil	gauge, fathom, sound.
afpen	peg (stake) off (claims).
afpers	draw (tears); extort (money).
afplat	level, even out
afpluk	pick (off), gather.
afpraat	talk over, arrange, settle.
afraai	dissuade.
afraak	get away (stray) from, get rid of.
aframmel	reel off, gabble.
afransel	lick, thrash, flog.
afreis	depart, leave.
afreken	settle accounts.
afrekening	settlement.
afrig	coach; train.
afrigter	coach; trainer.
Afrika	Africa.
Afrikaan	(native) African.
Afrikaans	n. & a. Afrikaans.
afrikaner	marigold.; Africander.
Afrikanerbees	Africander (breed of cattle).
afrokkel	entice away, wheedle out of.
afrol	roll down; unwind.
afrolmasjien	copying-machine.
afrond	finish, round of
afroom	cream, skim.
afry	drive (ride) off (down); cover.
afsaag	saw off.
afsaal	off-saddle.
afsak	come (slip) down, sag (down); subside; drop (float, sail) down; slide down.
afsaksel	deposit, sediment, silt.
afsê	cancel, countermand; break off an engagement with.
afsend	consign, dispatch, forward.
afsender	consigner, sender, remitter.
afset	n. sale, turnover, market.
afsetter	swindler.
afsien	- van, abandon, give up (a plan); forgo, relinquish (a claim).
afsienbaar	measurable.
afsigtelik	ghastly, hideous, ugly.
afsit	dash off, start; remove, take off (from fire); amputate, cut off (a limb); down, drop (a passenger); trim (a dress); dismiss (from office).
afsitter	starter.
afskaaf	plane down; chafe (one's skin).
afskaf	abolish, do away with; abrogate, repeal (laws).
afskaffer	teetotaller; abolitionist.
afskeep	ship; fob off; neglect someone, botch (one's work).
afskeer	shave off, shear off.
afskei	separate; secrete; extract.
afskeid	departure, good-bye, leave.
afskeier	separator.
afskep	skim (off), scoop off.
afskeur	peel (tear) off; secede.
afskiet	discharge, fire; send up (rockets); shoot down (a bird); shoot off (a limb).
afskil	peel, pare; skin; scale off.
afskilfer	peel (off), flake (off).
afskink	pour off, decant.
afskop	n. kick-off.; kick off, kick down.
afskort	partition off.
afskram	glance off.
afskrif	copy, duplicate.
afskrik	n. horror; deterrent; aversion.; deter; frighten, dishearten.
afskrikwekkend	deterrent; terrifying; prohibitive.
afskryf	copy, transcribe; crib; finish; write off (debt).
afsku	abhorrence, horror.
afskud	shake off.
afskuwelik	abominable, hideous, vile.
afslaan	beat (dash, knock, strike) off; repel, repulse (an attack); knock down, reduce (the price).
afslaer	auctioneer,
afslag	n. reduction; auction.; flay, skin.; allowance
afsloof	drudge, slave.
afsluit	cut (shut, turn) off; close (accounts); balance (books).
afslyt	wear away (out, down).
afsmeer	rub off; palm off.
afsmyt	fling (throw, hurl) off.
afsnou	choke
afsny	cut, cut off; intercept.
afsonder	separate; segregate.
afsonderlik	a. separate, special.; adv. separately, singly.
afspeel	finish, play off; take place.
afspoel	rinse; wash away.
afspons	sponge down.
afspraak	appointment, arrangement.
afspreek	agree upon, arrange,
afspring	leap down; alight (from a horse); fly off; chip off; (negotiations) break down.
afstaan	cede, give up, surrender.
afstam	be descended from, spring from.
afstammeling	descendant.
afstamp	bump (dash, knock) off.
afstand	distance, range; interval; cession (of territory); abdication (from throne); relinquishment, surrender (of rights).
afstap	step off; dismount; walk.
afsteek	cut (solds), mark out; deliver (a speech).
afstel	n. postponement, procrastination.
afstem	reject, turn down (a proposal).
afsterf	die; lose touch with.
afstof	dust; wallop.
afstomp	blunt; deaden, duli.
afstoot	dash (knock, thrust) down (off); repulse, rebuff.
afstootlik	repelling, repulsive.
afstort	tumble down; fling (hurl) down.
afstroom	flow (stream) down.
afstroop	flay, skin; ravage.
afstuur	(afge-); dispatch, send off.
afswaai	turn aside.
afsweer	abjure, renounce.
aftap	draw off, tap; drain; trickle down.
afteken	copy, sketch; portray; mark oE.
aftel	count off; subtract; lift down.
aftog	retreat.
aftrap	wear down (heels); step down.
aftree	step down; retire, abdicate; pace, step off.
aftrek	n. deduction; demand.; deduct, subtract; extract (in chem.); puil down (off); divert (someone's attention); fire, pull the trigger.
aftuig	outspan, unharness.
aftuimel	tumble down.
afvaardig	delegate, depute.
afval	n. refuse, waste; tripe.; fall off, drop, fall (tumble) down; lose weight.
afvallig	disloyal, unfaithful.
afvallige	deserter, renegade.
afvee	wipe (off); sweep.
afvoer	n. conveyance; discharge, outlet.
afvra	
afvryf	rub, polish.
afvuur	discharge, fire (oft).
afwaai	blow off; be blown off.
afwaarts	aside.
afwag	await, wait (for).
afwagting	expectation.
afwater	drain; pour off; water down.
afweeg	weigh out.
afweer	avert; keep off.
afwen	(afge-); break (of a habit); wean from.
afwend	avert, turn aside (away); ward off; divert (attention); stave off (defeat).
afwerk	complete; finish (off), work off (a debt); get through (a programme).
afwerp	throw off; shed; yield (profit); shake off (a feeling).
afwesig	absent.
afwissel	alternate, vary.; alternate, change, vary
afwisseling	alternation, succession; change, variation; diversity, variety.
afwit	whitewash.
afwyk	deviate, diverge; differ; disagree.
afwyking	deflection; deviation; aberration; anomaly; divergence
afwys	turn away; reject; decline (an invitation), dismiss (a claim).; refuse admittance, turn away; reject; decline (an invitation), disclaim (feelings), repel (a charge), dismiss (a claim)
ag	n. attention, care; in - neem, observe, practise, use, consider.; esteem, respect; consider, count, regard.; interj. ah!, alasl, oh!
agbaar	honourable, respectable.
ageer	act.
agie	inquisitive person.
agiteer	agitate; fluster.
agste	eighth
agt	n. eight.
agteloos	careless, inattentive.
agtelosig	careless.
agtenswaardig	estimable, respectable.
agter	prep, behind; at the back of.; adv. at the back; behind.
agteraan	behind, at the back.
agteraf	adv. back, backward, in the rear; poor; out of the way; secretly.; a. backward, out-of-the-way; poor.
agterbaks	a. sly, underhand(ed).; adv. secretly.
agterbly	remain (stay, drop) behind; survive.
agterbuurt	slum(s), backstreet.
agterdog	suspicion.
agterdogtig	suspicious.
agtereen	vide aaneen & agtermekaar.
agtereenvolgens	consecutively, successively.
agtergrond	background.
agterhaal	overtake.
agterhoede	rear(-guard).
agterhou	keep (hold) back (behind), withhold; conceal.
agterin	at the back.
agterkant	back; backside.
agterkleinkind	great-grandchild.
agterkom	discover, find out.
agterlaaier	breech-loader; frock-coat.
agterlaat	leave, leave behind.
agterlik	backward; behind the times.
agtermekaar	a. spick and span, up-to-date; spruce.; adv. on end, at a stretch; spick and span; in order.
agtermiddag	afternoon.
agterna	after, behind; afterwards.
agternasit	pursue.
agterom	back, behind; round the back.
agteroor	back(wards).
agterop	behind, at the back, in the rear.
agteropskop	kick up the heels.
agteros	hind-ox.
agterosssambok	ox-sjambok.
agterplaas	back-yard.
agterraak	drop (fall, lag) behind.
agterryer	attendant, henchman.
agterskot	(payment of) balance.
agterstallig	in arrear.; overdue; in arrear; back order
agterstand	arrears, arrearage; backward position.
agterste	a. hind, hindmost, last.
agterstel	n. back, tail(-end) of wagon); rearchassis (of motor).
agterstevoor	upside down, topsy-turvy.
agterstewe	-sten, stern, poop.
agteruit	back, backward(s).
agteruitgaan	go back(wards), get worse; come down in the world; deteriorate (of goods); degenerate (of morals).
agtervoegsel	suffix.; suffix
agtervolg	pursue; persecute.; pursue
agterwaarts	adv. back, backwards.; a. backward, retrograde.
agterweë	back; - bly, fail to turn up; remain in abeyance.
agting	esteem, estimation.
agtste	eighth.
agttien	eighteen.
agtuur	eight o'clock; breakfast.
ai	interj. ah!., o(h)!; ow!, ouch!
aikôna	haikôna, oh no!; not at all.
aits	my!, hallo!, look out!, sorry!
akademie	academy.
akasia	acacia.
akkeboom	oak(-tree).
akkedis	lizard; newt.
akker	1. field, plot (of land).; 2. acorn.
akkommodeer	accommodate.
akkoord	agreement; chord (mus.)
akkordeer	agree; get on with.
akkordeon	accordion.
akkuraat	accurate, precise.
akkusatief	accusative.
akoestiek	aeoustics.
akrobaat	acrobat.
aks	eighth (of an inch).
aksent	accent.
aksie	action; agitation.
aksioma	axiom.
aksyns	excise(-duty).
akte	deed; diploma; act.
akteur	actor, player.
aktief	active, energetic.
aktrise	actress.
aktuaris	actuary.
aktueel	actual, topical.; actual; timely; topical; of current interest
akuut	acute.
akwarium	'aquarium.
al	a. all, each, every.; adv. already, yet; -te waar, only too true; - te veel, overmuch.; conj. (al)though, even if, even though.
alarm	alarm; tumult, uproar.
Albanees	n. & a. Albanian.
albaste	a. alabaster.
albaster	marble.
albei	both.
album	album; scrap-book.
aldaar	there, at that place (spot).
aldag	every day.
aldeur	all the time, all along.
aldus	so, thus, as follows.
aleer	before, ere.
alfaam	halfaum.
alfabet	alphabet.
algar	ali, everybody, the whole lot.
algebra	algebra.
algeheel	a. complete, utter.; adv. completely, totally.
algemeen	in general.; a. general; universal; common; public; vagoe.
alhier	here, locally.
alhoewel	(al)though.
alias	n. alias.; adv. alias, otherwise.
alibi	alibi.
aljimmers	always, repeatedly.
alkali	alkali.
alkant	(on) all sides.
alklaps	every now and then.
alkohol	alcohol.
alkoholis	alcoholic.
alla	gracious!, goodness!
alledaags	daily, common(place).
alleen	alone, by oneself; lonely; single-handed; only; mere; in private.
alleenhandel	monopoly.
alleenlik	only, merely.
alleenspraak	monologue, soliloquy.
alleenstaande	detached, single.
allegorie	allegory.
allemansvriend	hail-fellow-well-met.
allengs	gradually, insensibly.
allenig	alone, lonely; vide alleen.
aller yl	in -, in hot haste.
aller-...	the very..., the... of all, most.
allerbeste	best of all, very best.
allereers	first of all.
allerhande	of all sorts, sundry.
allerlaaste	very last; the very latest.
allerlei	(of) all sorts, miscellaneous,
allernodigste	most necessary.
allersyds	allerwee, everywhere.
alles	all, everything.
allesbehalwe	anything but, far from, not at all
allesetend	omnivorous
allesins	in every respect; fully.
allesvernielend	all-destroying, devastating
allig	probably, perhaps.
alliterasie	alliteration.
allooi	alloy; quality, standard.
alluviaal	alluvial.
almag	omnipotence.
almagtig	almighty, omnipotent.
almal	all, everybody; everything.
almaskie	all the same, nev'ertheless.
almelewe	always, for ever.
alom	everywhere, on all sides.
aloue	ancient, time-honoured.
alreeds	already,
alsiende	all-seeing.
also	thus, in this manner.
alsydig	all-round, many-sided, universal; versatile (sportsman).
alt	contralto.
altaar	altar.
altans	at least, anyhow; at any rate.
alte	(only) too.
altemits	perhaps, maybe.
altesaam	(al)together, all told.
altoos	always, ever; vir -, for ever.
altwee	both.
altyd	always, for ever.
altyddurend	everlasting.
aluin	alum, alumen.
aluminium	aluminium.
alvorens	before, until.
alwaar	where; wherever.
alweer	again, once more.
alwetend	omniscient.
alweter	know-all.
amandel	almond; tonsil.
amasone	amazon.; Amazon.; the Amazon (River).
amateur	amateur, novice.
ambag	n. (handi)craft, trade, business, profession.; do, be busy with.
ambagskool	technical school, trade-school.
ambagsman	artisan.
ambassade	embassy.
ambassadeur	ambassador.
ambisie	ambition.
ambulans	ambulance, field hospital.
amegtig	breathless, out of breath.
amen	amen.
amendeer	amend.
Amerikaner	American.
ametis	amethyst.
ameublement	(set, suite of) furniture.
ammoniak	ammonia.
ammunisie	(am)munition.
amok	amuck, - maak, run amuck.
amp	function, office, post, duty.
amper	almost, nearly.
ampsbekleer	incumbent (of office).
ampshalwe	officially, ex officio.
ampsweë	vide ampshalwe.
amptelik	official; professional.
amptenaar	civil (public) servant, official.
amusant	amusing, entertaining.
amuseer	amuse.
analise	arialysis.
analiseer	analyse.
analogie	analogy.
anargie	anarchy.
anatomie	anatomy.
Andalusies	Andalusian.
ander	n. & a. another; other.
anderdagmore	the next morning.
anderdeels	partly.
anderhalf	one and a half.
anderkant	prep. across, beyond.
anderland	abroad.
andermaal	again, once more.
anderman	someone else, another.
anders	different; else, otherwise.
andersdenkend	different(ly)-minded; dissentient.
andersgesind	vide andersdenkend(e).
andersins	otherwise.
andersom	the other way about (round).
anderste	otherwise; different.
andersyds	on the other hand.
angel	sting (of bee); (fig.) barb.
angelier	carnation. '
Anglikaans	Anglican.
Anglisisme	Angiicism.
angora	angora.
angs	terror, anxiety, dismay.; anxiety; fear
angsneurose	anxiety complex
angstig	afraid, fearful.
angsvallig	conscientious, scrupulous.
